ContentKey,TalentKey,AllocationFactor,CastOrder
1501,2435,0.5947,1
1501,12441,0.2893,2
1501,14958,0.063,3
1501,12215,0.0414,4
1501,7739,0.0116,5
1502,5186,0.503,1
1502,6793,0.3103,2
1502,14774,0.1084,3
1502,9543,0.0696,4
1502,6755,0.0087,5
1503,1658,0.4147,1
1503,17111,0.2985,2
1503,3012,0.2128,3
1503,5574,0.0239,4
1503,11002,0.0226,5
1503,12123,0.0164,6
1503,5767,0.0111,7
1504,11675,0.4305,1
1504,2535,0.2205,2
1504,2355,0.1655,3
1504,7860,0.084,4
1504,6309,0.0587,5
1504,6630,0.0408,6
1505,16443,0.4609,1
1505,14482,0.4352,2
1505,7116,0.0621,3
1505,7603,0.0296,4
1505,6707,0.0121,5
1506,5975,0.5716,1
1506,12620,0.3824,2
1506,6822,0.046,3
1507,7495,0.3435,1
1507,6406,0.2895,2
1507,5686,0.1549,3
1507,6976,0.1123,4
1507,13249,0.0825,5
1507,2486,0.0173,6
1508,6694,0.4762,1
1508,7124,0.3394,2
1508,4934,0.1844,3
1509,6387,0.5372,1
1509,7277,0.4614,2
1509,16701,0.0014,3
1510,4584,0.3927,1
1510,14057,0.3609,2
1510,16952,0.1966,3
1510,4720,0.0358,4
1510,11226,0.0097,5
1510,16327,0.0044,6
1511,17090,0.6151,1
1511,13851,0.2404,2
1511,12722,0.1445,3
1512,7692,0.3504,1
1512,6221,0.2552,2
1512,15348,0.2495,3
1512,13626,0.0639,4
1512,7055,0.0525,5
1512,5125,0.0278,6
1512,3826,0.0007,7
1513,3504,0.5178,1
1513,2156,0.3101,2
1513,3383,0.1667,3
1513,4265,0.0054,4
1514,3595,0.5418,1
1514,3036,0.1998,2
1514,4400,0.1541,3
1514,7880,0.0736,4
1514,15829,0.0259,5
1514,5697,0.0048,6
1515,5416,0.3998,1
1515,4464,0.2946,2
1515,5114,0.1227,3
1515,6698,0.093,4
1515,9654,0.0816,5
1515,1896,0.0054,6
1515,6236,0.0029,7
1516,2356,0.5056,1
1516,5359,0.4195,2
1516,2953,0.0749,3
1517,7097,0.5113,1
1517,1640,0.2103,2
1517,4789,0.1695,3
1517,5289,0.0709,4
1517,9612,0.037,5
1517,2913,0.0011,6
1518,14929,0.7594,1
1518,6356,0.1426,2
1518,5032,0.098,3
1519,12331,0.4737,1
1519,14782,0.2975,2
1519,4232,0.2288,3
1520,7994,0.4653,1
1520,8681,0.4142,2
