CustomerKey,IsChurned,IsActive,Gender,Age,AgeGroup,Birth,MonthsAsCustomer,TenureYears,LifetimeValue,AvgSessionMinutes,ChurnRiskScore,PaymentReliability,CustomerSegment,CityName,StateName,CountryName,ISOCode,Continent,Latitude,Longitude,Timezone,PreferredLanguage,LanguageISO,PreferredGenre,PreferredGenreGroup,DeviceType,RegistrationSource,NumPaymentMethods,ActivePaymentMethods,PrimaryCardNetwork,HasCreditCard,HasDebitCard,CreateDate
1501,0,1,male,37,Gen_X,1988-06-13,106,8.8,1196.2,62.7,0.242,0.852,Silver,Springfield,Colorado,United States,US,North America,39.8974,-98.4606,America/New_York,French,fr,Romance,Light & Feel-Good,desktop,web,1,1,Visa,1,0,2017-07-24
1502,0,1,female,36,Gen_X,1990-04-11,185,15.4,3412.62,135.7,0.16,0.974,Gold,Springfield,Illinois,United States,US,North America,40.8677,-87.7677,America/New_York,English,en,Horror,Horror & Suspense,tablet,mobile_app,2,2,Visa,1,0,2010-12-22
1503,1,0,male,27,Millennial,1999-05-15,100,8.3,1697.39,85.1,0.738,1.0,Bronze,Clinton,Maryland,United States,US,North America,39.3127,-98.5373,America/New_York,English,en,Stand-Up Comedy,Light & Feel-Good,smart_tv,web,1,1,Visa,1,0,2018-01-01
1504,0,1,other,26,Millennial,2000-02-20,73,6.1,1097.08,44.0,0.258,0.879,Silver,Savannah,Georgia,United States,US,North America,40.7634,-97.7361,America/New_York,English,en,Stand-Up Comedy,Light & Feel-Good,mobile,web,1,1,American Express,1,0,2020-04-16
1505,0,1,male,25,Gen_Z,2000-09-07,62,5.2,1189.48,55.0,0.306,0.834,Bronze,Salem,South Carolina,United States,US,North America,39.1244,-97.916,America/New_York,English,en,Mystery,Horror & Suspense,mobile,web,1,1,Mastercard,1,0,2021-03-29
1506,0,1,male,24,Gen_Z,2001-09-21,37,3.1,521.66,25.5,0.371,0.823,Bronze,Franklin,Maryland,United States,US,North America,39.1293,-98.7226,America/New_York,French,fr,Adventure,Action & Spectacle,smart_tv,mobile_app,2,2,Visa,1,0,2023-04-28
1507,0,1,female,18,Gen_Z,2008-03-23,1,0.1,141.85,70.5,0.343,0.922,Bronze,Madison,North Carolina,United States,US,North America,39.6936,-99.8806,America/New_York,English,en,Documentary,Arts & Culture,mobile,partner,2,2,PayPal,1,0,2026-04-13
1508,0,1,female,26,Millennial,2000-05-23,92,7.7,1026.99,102.1,0.276,0.77,Silver,Springfield,Washington,United States,US,North America,38.1201,-98.7998,America/New_York,English,en,Stand-Up Comedy,Light & Feel-Good,smart_tv,smart_tv,1,1,Mastercard,1,0,2018-09-05
1509,0,1,female,53,Boomer,1973-05-27,187,15.6,2740.08,52.4,0.227,0.773,Silver,Clinton,Alabama,United States,US,North America,38.6897,-98.0986,America/New_York,English,en,Action,Action & Spectacle,tablet,web,2,2,Visa,1,0,2010-10-01
1510,0,1,male,29,Millennial,1996-09-13,87,7.2,1047.18,79.5,0.309,0.792,Silver,Franklin,Missouri,United States,US,North America,38.7736,-99.4798,America/New_York,English,en,Cult Classic,Arts & Culture,smart_tv,mobile_app,1,1,Mastercard,1,0,2019-02-25
1511,0,1,female,18,Gen_Z,2008-05-15,1,0.1,84.78,72.9,0.399,0.791,Bronze,El Paso,Texas,United States,US,North America,33.1411,-100.0824,America/New_York,English,en,Comedy,Light & Feel-Good,smart_tv,web,1,1,PayPal,0,0,2026-05-30
1512,0,1,male,41,Gen_X,1984-09-16,21,1.8,418.1,63.3,0.325,0.951,Silver,Orlando,Florida,United States,US,North America,28.0484,-82.9001,America/New_York,Portuguese,pt,History,Arts & Culture,tablet,mobile_app,2,2,PayPal,1,0,2024-08-22
1513,0,1,female,25,Gen_Z,2001-05-04,32,2.7,610.07,36.4,0.298,0.991,Silver,Franklin,Virginia,United States,US,North America,39.0645,-98.2613,America/New_York,English,en,Animation,Family & Fantasy,mobile,web,1,0,Mastercard,1,0,2023-09-15
1514,0,1,male,20,Gen_Z,2006-05-29,10,0.8,121.6,70.8,0.355,0.826,Bronze,Springfield,Colorado,United States,US,North America,38.5792,-98.0494,America/New_York,English,en,Indie,Narrative,smart_tv,web,1,1,Mastercard,1,0,2025-07-17
1515,0,1,female,38,Gen_X,1987-11-06,196,16.3,3023.62,86.7,0.219,0.847,Silver,Madison,Alabama,United States,US,North America,39.0195,-98.5834,America/New_York,French,fr,War,Action & Spectacle,desktop,smart_tv,2,2,Visa,1,0,2010-01-12
1516,0,1,male,41,Gen_X,1984-12-29,191,15.9,3636.97,93.7,0.125,0.992,Gold,Salem,Colorado,United States,US,North America,39.0186,-96.8682,America/New_York,Portuguese,pt,History,Arts & Culture,tablet,web,2,2,Debit Card,1,1,2010-06-11
1517,0,1,female,28,Millennial,1997-06-25,39,3.2,423.68,33.8,0.412,0.765,Bronze,Atlanta,Georgia,United States,US,North America,39.4892,-99.1962,America/New_York,English,en,Cult Classic,Arts & Culture,smart_tv,web,1,1,PayPal,0,0,2023-02-01
1518,1,0,female,30,Millennial,1995-12-25,128,10.7,1376.63,55.4,0.859,0.717,Bronze,Akron,Ohio,United States,US,North America,40.158,-99.3267,America/New_York,Portuguese,pt,Indie,Narrative,smart_tv,mobile_app,1,1,PayPal,0,0,2015-09-10
1519,0,1,male,41,Gen_X,1985-03-04,46,3.8,694.77,122.8,0.248,0.963,Silver,Clinton,Colorado,United States,US,North America,39.6671,-99.9177,America/New_York,English,en,Stand-Up Comedy,Light & Feel-Good,desktop,partner,1,1,Mastercard,1,0,2022-07-14
1520,0,1,female,32,Millennial,1994-02-17,96,8.0,1029.28,78.5,0.327,0.842,Silver,Georgetown,Alabama,United States,US,North America,38.4375,-98.1925,America/New_York,English,en,Animation,Family & Fantasy,tablet,web,3,3,Mastercard,1,1,2018-05-16
1521,0,1,male,31,Millennial,1994-06-29,123,10.2,2246.37,134.8,0.226,0.809,Silver,Franklin,Washington,United States,US,North America,40.0908,-98.2129,America/New_York,English,en,Disaster,Action & Spectacle,smart_tv,web,1,1,Mastercard,1,0,2016-02-04
1522,0,1,male,31,Millennial,1994-08-15,158,13.2,1524.35,69.4,0.198,0.902,Silver,New York City,New York,United States,US,North America,42.0732,-75.189,America/New_York,French,fr,Fantasy,Family & Fantasy,mobile,smart_tv,2,2,Debit Card,1,1,2013-03-04
1523,0,1,male,33,Millennial,1992-11-25,31,2.6,527.82,27.3,0.354,0.837,Bronze,Georgetown,Arizona,United States,US,North America,38.3172,-98.9259,America/New_York,English,en,Psychological,Horror & Suspense,mobile,smart_tv,1,1,Visa,1,0,2023-10-29
1524,1,0,male,23,Gen_Z,2002-10-19,65,5.4,1011.37,93.2,0.955,0.822,Bronze,Georgetown,Massachusetts,United States,US,North America,39.1315,-97.5043,America/New_York,English,en,Crime,Narrative,smart_tv,web,2,1,Debit Card,0,1,2020-12-15
1525,0,1,male,23,Gen_Z,2002-07-04,5,0.4,168.26,53.2,0.377,0.924,Bronze,Springfield,Alabama,United States,US,North America,39.7749,-99.7604,America/New_York,English,en,Mystery,Horror & Suspense,mobile,web,1,1,Visa,1,0,2025-12-28
1526,0,1,male,45,Gen_X,1981-03-22,55,4.6,545.61,52.5,0.323,0.94,Silver,Clinton,Michigan,United States,US,North America,39.7593,-98.6581,America/New_York,English,en,History,Arts & Culture,smart_tv,smart_tv,1,1,Visa,1,0,2021-10-13
1527,0,1,female,33,Millennial,1992-06-30,80,6.7,1399.59,103.1,0.301,0.751,Silver,Madison,Indiana,United States,US,North America,38.9585,-97.8607,America/New_York,English,en,Indie,Narrative,mobile,smart_tv,1,1,American Express,1,0,2019-09-02
1528,0,1,female,39,Gen_X,1986-11-09,188,15.7,3129.6,55.9,0.137,0.94,Gold,Georgetown,Indiana,United States,US,North America,40.3248,-97.605,America/New_York,English,en,Stand-Up Comedy,Light & Feel-Good,smart_tv,web,1,1,Visa,1,0,2010-09-02
1529,1,0,male,36,Gen_X,1990-03-25,196,16.3,1776.8,75.0,0.772,0.888,Bronze,Georgetown,Missouri,United States,US,North America,38.8286,-98.5974,America/New_York,English,en,Horror,Horror & Suspense,smart_tv,partner,2,2,Visa,1,0,2010-01-15
1530,0,1,female,35,Millennial,1990-12-05,179,14.9,2474.75,57.2,0.206,0.757,Silver,Los Angeles,California,United States,US,North America,37.0433,-118.6375,America/New_York,Portuguese,pt,Drama,Narrative,smart_tv,web,1,1,Visa,1,0,2011-06-11
1531,0,1,male,30,Millennial,1995-11-17,112,9.3,981.71,80.0,0.21,0.941,Silver,Savannah,Georgia,United States,US,North America,39.1167,-98.4985,America/New_York,English,en,Superhero,Action & Spectacle,smart_tv,mobile_app,1,1,Mastercard,1,0,2017-01-31
1532,1,0,female,48,Gen_X,1978-05-18,1,0.1,153.55,28.1,0.788,0.937,Bronze,Madison,Missouri,United States,US,North America,38.6149,-99.307,America/New_York,English,en,Action & Adventure,Action & Spectacle,desktop,smart_tv,1,1,JCB,1,0,2026-05-30
1533,0,1,female,31,Millennial,1994-12-20,142,11.8,2153.44,69.8,0.261,0.712,Silver,Allentown,Pennsylvania,United States,US,North America,40.15,-97.265,America/New_York,Portuguese,pt,Crime,Narrative,desktop,mobile_app,1,1,PayPal,0,0,2014-07-19
1534,0,1,other,24,Gen_Z,2001-07-31,72,6.0,689.64,66.8,0.326,0.761,Bronze,Salem,Missouri,United States,US,North America,39.4424,-97.5472,America/New_York,English,en,Mystery,Horror & Suspense,smart_tv,smart_tv,1,1,Debit Card,0,1,2020-05-11
1535,0,1,male,35,Millennial,1990-09-16,186,15.5,2528.14,77.7,0.161,0.978,Gold,Franklin,Colorado,United States,US,North America,39.7893,-98.8661,America/New_York,English,en,Foreign Language,Arts & Culture,mobile,mobile_app,1,1,Visa,1,0,2010-11-25
1536,0,1,other,40,Gen_X,1985-07-22,98,8.2,977.23,39.7,0.325,0.825,Silver,Augusta,Georgia,United States,US,North America,39.7891,-97.1196,America/New_York,Portuguese,pt,Superhero,Action & Spectacle,smart_tv,mobile_app,1,1,PayPal,0,0,2018-03-27
