ContentKey,FilmID,Title,Revenue,Budget,ROI,ProfitMargin,RevenuePerMinute,Rating,RatingCategory,VoteCount,Popularity,Runtime,ContentType,AgeRating,IsAdult,BudgetCategory,Language,LanguageISO,IsInCollection,CollectionName,ReleaseYear,ReleaseQuarter,StreamingYear,StreamingMonth,StreamingQuarter,DaysSinceStreaming,CategoryCount,PrimaryCategory,AllCategories,PrimaryGenreGroup,AllGenreGroups,CastSize,AvgCastPopularity,TotalCastAwards,TopActorName,TopActorNationality,TopActorGender,TopActorPopularity,AllActors,OriginCountry,ContentSource,Tagline
1501,13,Forrest Gump,677387716,55000000,11.3161,0.9188,4770336.03,8.463,Great,3465,25.8727,142,Movie,PG-13,0,Mid,English,en,0,,1994,,2023,10,4,961,1,Comedy,Comedy,Light & Feel-Good,Light & Feel-Good,5,3.66,2,Lisa Anderson,US,female,3.21,Lisa Anderson | Lisa Garcia | Nora Santos | Mia Smith | Cameron Carvalho,US,Licensed,Life is like a box of chocolates.
1502,28,Apocalypse Now,150000000,31500000,3.7619,0.79,1020408.16,8.268,Great,963,11.955,147,Movie,R,0,Mid,English,en,0,,1979,,2024,8,3,666,1,Drama,Drama,Narrative,Narrative,5,7.71,1,James Lopez,US,male,1.0,James Lopez | Adam Williams | Sandra Smith | Melissa Thomas | Thomas Rodriguez,US,Licensed,The horror... the horror.
1503,73,American History X,23900000,20000000,0.195,0.1632,200840.34,8.327,Great,593,7.9453,119,Movie,R,0,Low,English,en,0,,1998,,2026,4,2,43,1,Drama,Drama,Narrative,Narrative,7,25.01,1,Robert Downey Jr.,US,male,121.0,Robert Downey Jr. | Valentina Bianchi | Chloe Santos | Linda Anderson | Brian Smith,US,Licensed,Some legacies must end.
1504,98,Gladiator,465516248,103000000,3.5196,0.7787,3003330.63,8.222,Great,1245,16.6869,155,Movie,R,0,High,English,en,1,Gladiator Collection,2000,,2022,5,2,1468,1,Action,Action,Action & Spectacle,Action & Spectacle,6,4.26,1,Hyun-soo Kang,KR,male,4.17,Hyun-soo Kang | Brandon Jones | Karen Williams | Nana Tanaka | Michael Williams,US,Licensed,What we do in life echoes in eternity.
1505,101,Léon: The Professional,45284974,16000000,1.8303,0.6467,407972.74,8.295,Great,5209,16.3598,111,Movie,R,0,Low,French,fr,0,,1994,,2026,5,2,15,1,Crime,Crime,Narrative,Narrative,5,6.38,0,Patricia Thomas,US,female,4.96,Patricia Thomas | Lily Jones | Ryu Nakamura | Karen Brown | Penelope Lima,FR,Original,The perfect killing machine.
1506,105,Back to the Future,381109762,19000000,19.0584,0.9501,3285428.98,8.324,Great,2961,17.8058,116,Movie,PG,0,Low,English,en,1,Back to the Future Collection,1985,,2019,5,2,2557,1,Adventure,Adventure,Action & Spectacle,Action & Spectacle,3,3.89,0,Quinn Costa,DE,male,4.1,Quinn Costa | Adam Jones | Rebecca Taylor,US,Licensed,He was never in time for his classes.
1507,120,The Lord of the Rings: The Fellowship of the Ring,871368364,93000000,8.3696,0.8933,4867979.69,8.429,Great,1809,29.2707,179,Movie,PG-13,0,High,English,en,1,The Lord of the Rings Collection,2001,,2026,1,1,146,1,Adventure,Adventure,Action & Spectacle,Action & Spectacle,6,3.94,1,Melissa Smith,US,female,4.38,Melissa Smith | Sarah Jones | Stephanie Moore | William Jackson | James Thomas,NZ,Original,One ring to rule them all.
1508,121,The Lord of the Rings: The Two Towers,926287400,94000000,8.8541,0.8985,5174789.94,8.4,Great,2439,17.5545,179,Movie,PG-13,0,High,English,en,1,The Lord of the Rings Collection,2002,,2026,1,1,147,1,Adventure,Adventure,Action & Spectacle,Action & Spectacle,3,5.73,0,James Lee,US,male,0.51,James Lee | Sandra Martin | William Lopez,NZ,Licensed,A new power is rising.
1509,122,The Lord of the Rings: The Return of the King,1118888979,94000000,10.9031,0.916,5566611.84,8.494,Great,3011,27.5642,201,Movie,PG-13,0,High,English,en,1,The Lord of the Rings Collection,2003,,2025,4,2,412,1,Adventure,Adventure,Action & Spectacle,Action & Spectacle,3,2.18,1,Robert Brown,US,male,1.86,Robert Brown | Richard Jones | Lily Oliveira,NZ,Licensed,The eye of the enemy is moving.
1510,128,Princess Mononoke,176506186,23000000,6.6742,0.8697,1317210.34,8.324,Great,243,12.4847,134,Movie,PG-13,0,Mid,Japanese,ja,1,Studio Ghibli Collection,1997,,2025,9,3,251,2,Adventure,Adventure | Action & Adventure,Action & Spectacle,Action & Spectacle,6,4.02,0,Ai Kato,JP,female,6.13,Ai Kato | Taro Nakamura | Lily Ferreira | Aaron Lee | Emma Silva,JP,Licensed,The fate of the world rests on one warrior.
1511,129,Spirited Away,274925095,19000000,13.4697,0.9309,2199400.76,8.534,Masterpiece,1020,25.5031,125,Movie,PG,0,Low,Japanese,ja,1,Studio Ghibli Collection,2001,,2025,9,3,252,2,Animation,Animation | Kids,Family & Fantasy,Family & Fantasy,3,8.46,0,Hana Ito,JP,female,1.11,Hana Ito | Sho Ito | Emily Lopez,JP,Licensed,The tunnel led Chihiro to a magical world.
1512,155,The Dark Knight,1004558444,185000000,4.43,0.8158,6608937.13,8.527,Masterpiece,3665,31.665,152,Movie,PG-13,0,High,English,en,1,The Dark Knight Collection,2008,,2025,7,3,333,1,Action,Action,Action & Spectacle,Action & Spectacle,7,10.21,0,Betty Lopez,US,female,3.32,Betty Lopez | Michael Garcia | Sarah Wilson | Logan Silva | Daniel Lee,US,Licensed,Why so serious?
1513,207,Dead Poets Society,235860116,16400000,13.3817,0.9305,1828372.99,8.301,Great,3656,12.5766,129,Movie,PG,0,Low,English,en,0,,1989,,2025,12,4,162,1,Drama,Drama,Narrative,Narrative,4,10.03,3,Linda Brown,US,female,6.58,Linda Brown | Ashley Brown | Emma Santos | Barbara Jackson,US,Licensed,He made their lives extraordinary.
1514,238,The Godfather,245066411,6000000,39.8444,0.9755,1400379.49,8.688,Masterpiece,3535,47.0492,175,Movie,R,0,Low,English,en,1,The Godfather Collection,1972,,2024,12,4,527,1,Drama,Drama,Narrative,Narrative,6,4.96,0,Karen Thomas,US,female,10.8,Karen Thomas | Melissa Garcia | Brian Taylor | Kevin Martinez | Jennifer Lopez,US,Licensed,An offer you can't refuse.
1515,240,The Godfather Part II,102600000,13000000,6.8923,0.8733,507920.79,8.572,Masterpiece,1304,22.4086,202,Movie,R,0,Low,English,en,1,The Godfather Collection,1974,,2024,7,3,682,1,Drama,Drama,Narrative,Narrative,7,4.93,1,Betty Davis,US,female,2.5,Betty Davis | Davide Conti | Sarah Wilson | Jordan Carvalho | Lisa Johnson,US,Licensed,
1516,274,The Silence of the Lambs,272742922,19000000,13.3549,0.9303,2291957.33,8.345,Great,406,4.1321,119,Movie,R,0,Low,English,en,0,,1991,,2026,1,1,136,1,Crime,Crime,Narrative,Narrative,3,2.26,0,Hyun-soo Cho,KR,male,0.75,Hyun-soo Cho | Brian Moore | Sarah Smith,US,Licensed,
1517,278,The Shawshank Redemption,28341469,25000000,0.1337,0.1179,199587.81,8.716,Masterpiece,2371,42.6026,142,Movie,R,0,Mid,English,en,0,,1994,,2024,2,1,841,1,Drama,Drama,Narrative,Narrative,6,20.55,1,Ashley Smith,US,female,33.61,Ashley Smith | Morgan Freeman | Susan Lopez | Samuel Jones | Betty Garcia,US,Licensed,Fear can hold you prisoner. Hope can set you free.
1518,311,Once Upon a Time in America,5500000,30000000,-0.8167,-4.4545,24017.47,8.384,Great,712,9.994,229,Movie,R,0,Mid,English,en,0,,1984,,2025,4,2,423,1,Drama,Drama,Narrative,Narrative,3,3.08,0,Arthur Williams,GB,male,3.77,Arthur Williams | Satoshi Yoshida | Christopher Thomas,US,Licensed,
1519,335,Once Upon a Time in the West,5380118,5000000,0.076,0.0707,32410.35,8.28,Great,1014,11.3899,166,Movie,NR,0,Micro,Italian,it,0,,1968,,2026,5,2,25,1,Drama,Drama,Narrative,Narrative,3,10.54,1,Aria Ferreira,RU,female,2.76,Aria Ferreira | Luna Costa | Betty Lopez,IT,Original,
1520,346,Seven Samurai,1560890,250000,5.2436,0.8398,7540.53,8.451,Great,359,9.3163,207,Movie,NR,0,Micro,Japanese,ja,0,,1954,,2021,8,3,1752,1,Action,Action,Action & Spectacle,Action & Spectacle,4,8.64,2,Jessica Williams,US,female,1.25,Jessica Williams | Richard Rodriguez | Sofia Bruno | Sho Ito,JP,Licensed,
1521,389,12 Angry Men,4360000,340000,11.8235,0.922,44948.45,8.555,Masterpiece,3047,17.5307,97,Movie,NR,0,Micro,English,en,0,,1957,,2025,8,3,272,1,Drama,Drama,Narrative,Narrative,3,14.84,2,Cameron Oliveira,RU,male,4.26,Cameron Oliveira | Aaron Thomas | Dorothy Anderson,US,Original,
1522,423,The Pianist,120098945,35000000,2.4314,0.7086,800659.63,8.375,Great,394,11.6371,150,Movie,R,0,Mid,French,fr,0,,2002,,2024,12,4,535,1,Drama,Drama,Narrative,Narrative,3,6.79,0,Blake Ferreira,BR,male,3.13,Blake Ferreira | Lily Alves | Manon Martin,FR,Licensed,
1523,424,Schindler's List,321365567,22000000,13.6075,0.9315,1648028.55,8.566,Masterpiece,659,21.1901,195,Movie,R,0,Mid,English,en,0,,1993,,2019,6,2,2549,1,Drama,Drama,Narrative,Narrative,7,4.63,0,Sarah Taylor,US,female,2.63,Sarah Taylor | Joshua Anderson | Samuel Moore | Andrew Davis | Nancy Jackson,US,Licensed,"Whoever saves one life, saves the world entire."
1524,429,"The Good, the Bad and the Ugly",38900000,1200000,31.4167,0.9692,241614.91,8.467,Great,1909,18.1211,161,Movie,NR,0,Micro,Italian,it,1,Dollars Trilogy,1966,,2023,6,2,1089,1,Drama,Drama,Narrative,Narrative,7,6.98,0,Betty Lopez,US,female,5.43,Betty Lopez | Robert Jones | Luca Rossi | Stephanie Miller | Evie Taylor,IT,Licensed,For three men the Civil War wasn't hell. It was practice.
1525,497,The Green Mile,286801374,60000000,3.78,0.7908,1517467.59,8.504,Masterpiece,3578,22.0212,189,Movie,R,0,Mid,English,en,0,,1999,,2026,3,1,67,1,Fantasy,Fantasy,Family & Fantasy,Family & Fantasy,5,5.4,0,Barbara Thomas,US,female,17.05,Barbara Thomas | Alfie Williams | Aaron Lee | Barbara Lee | James Lee,US,Co-production,Miracles do happen.
1526,510,One Flew Over the Cuckoo's Nest,108981275,4400000,23.7685,0.9596,819408.08,8.412,Great,1128,10.9287,133,Movie,R,0,Micro,English,en,0,,1975,,2025,12,4,159,1,Drama,Drama,Narrative,Narrative,3,2.34,0,John Garcia,US,male,3.72,John Garcia | Brandon Brown | Parker Alves,US,Licensed,
1527,539,Psycho,50048065,6400000,6.82,0.8721,459156.56,8.415,Great,983,11.9899,109,Movie,R,0,Low,English,en,0,,1960,,2025,6,2,359,1,Horror,Horror,Horror & Suspense,Horror & Suspense,3,2.45,0,David Martinez,US,male,2.14,David Martinez | Brian Miller | Joshua Lee,US,Licensed,Check in. Relax. Take a shower.
1528,550,Fight Club,100853753,63000000,0.6009,0.3753,725566.57,8.438,Great,1587,22.444,139,Movie,R,0,High,English,en,0,,1999,,2025,10,4,231,1,Drama,Drama,Narrative,Narrative,4,10.86,0,Sarah Johnson,US,female,9.74,Sarah Johnson | William Smith | Barbara Jackson | William Anderson,US,Licensed,Mischief. Mayhem. Soap.
1529,567,Rear Window,37042336,1000000,36.0423,0.973,330735.14,8.341,Great,443,7.1171,112,Movie,NR,0,Micro,English,en,0,,1954,,2025,10,4,240,1,Thriller,Thriller,Horror & Suspense,Horror & Suspense,6,8.42,0,Riko Tanaka,JP,female,4.03,Riko Tanaka | Susan Davis | James Rodriguez | Rebecca Jackson | Ashley Johnson,US,Original,
1530,598,City of God,30641770,3300000,8.2854,0.8923,237533.1,8.427,Great,2128,10.149,129,Movie,R,0,Micro,Portuguese,pt,0,,2002,,2024,11,4,571,1,Drama,Drama,Narrative,Narrative,6,1.92,0,Amanda Jones,US,female,3.64,Amanda Jones | George Walker | Alex Silva | Blake Lima | Robert Hernandez,BR,Licensed,
1531,599,Sunset Boulevard,5000000,1750000,1.8571,0.65,45454.55,8.3,Great,623,5.3476,110,Movie,NR,0,Micro,English,en,0,,1950,,2026,4,2,56,1,Drama,Drama,Narrative,Narrative,4,2.62,0,Tyler Jones,US,male,4.22,Tyler Jones | Aaron Martin | Tyler Rodriguez | James Taylor,US,Original,
1532,603,The Matrix,463517383,63000000,6.3574,0.8641,3408216.05,8.239,Great,1548,23.4077,136,Movie,R,0,High,English,en,1,The Matrix Collection,1999,,2018,6,2,2920,2,Action,Action | Action & Adventure,Action & Spectacle,Action & Spectacle,6,6.16,0,Linda Martin,US,female,1.29,Linda Martin | Richard Brown | Robert Thomas | Penelope Silva | Susan Thomas,US,Original,Free your mind.
1533,637,Life Is Beautiful,230098753,20000000,10.5049,0.9131,1983609.94,8.44,Great,590,11.2747,116,Movie,PG-13,0,Low,Italian,it,0,,1997,,2026,5,2,4,1,Comedy,Comedy,Light & Feel-Good,Light & Feel-Good,5,4.7,2,Karen Thomas,US,female,10.8,Karen Thomas | Amanda Jones | Marco Romano | Betty Lopez | Jessica Hernandez,IT,Licensed,
1534,670,Oldboy,17500000,3000000,4.8333,0.8286,145833.33,8.239,Great,2017,13.7399,120,Movie,R,0,Micro,Korean,ko,1,Vengeance Trilogy,2003,,2023,1,1,1233,1,Drama,Drama,Narrative,Narrative,4,11.08,0,Jordan Souza,AU,male,0.96,Jordan Souza | Hye-rin Jang | Sandra Lopez | Oscar Robinson,KR,Co-production,
1535,680,Pulp Fiction,213928762,8000000,25.7411,0.9626,1389147.81,8.486,Great,5357,26.0867,154,Movie,R,0,Low,English,en,0,,1994,,2023,6,2,1076,1,Thriller,Thriller,Horror & Suspense,Horror & Suspense,7,4.4,1,Jennifer Anderson,US,female,2.94,Jennifer Anderson | Jennifer Garcia | Lisa Thomas | Luna Silva | William Johnson,US,Licensed,You won't know the facts until you've seen the fiction.
1536,769,GoodFellas,47072327,25000000,0.8829,0.4689,324636.74,8.5,Great,4363,23.0102,145,Movie,R,0,Mid,English,en,0,,1990,,2026,4,2,56,1,Drama,Drama,Narrative,Narrative,3,3.15,1,Ashley Johnson,US,female,2.78,Ashley Johnson | Mary Lee | John Lee,US,Licensed,Three Decades of Life in the Mafia.
1537,807,Se7en,327311859,33000000,8.9185,0.8992,2577258.73,8.379,Great,928,20.1896,127,Movie,R,0,Mid,English,en,0,,1995,,2022,6,2,1451,1,Crime,Crime,Narrative,Narrative,5,3.78,1,Penelope Carvalho,AU,female,3.12,Penelope Carvalho | William Wilson | Linda Williams | Rebecca Williams | Léa Petit,US,Original,
1538,857,Saving Private Ryan,481840909,70000000,5.8834,0.8547,2851129.64,8.222,Great,1072,15.2583,169,Movie,R,0,High,English,en,0,,1998,,2024,6,2,712,1,War,War,Action & Spectacle,Action & Spectacle,5,5.43,0,Andrew Miller,US,male,1.85,Andrew Miller | Ashley Smith | Barbara Thomas | Adam Martin | Alfie Robinson,US,Licensed,
1539,901,City Lights,4250000,1500000,1.8333,0.6471,48850.57,8.255,Great,240,3.919,87,Movie,NR,0,Micro,English,en,0,,1931,,2025,9,3,271,1,Comedy,Comedy,Light & Feel-Good,Light & Feel-Good,6,4.66,0,Sandra Taylor,US,female,8.4,Sandra Taylor | Robert Miller | Linda Jones | Susan Martin | Pierre Simon,US,Original,
