CustomerKey,TotalCards,ActiveCards,InactiveCards,CreditCards,DebitCards,UniqueNetworks,PaymentDiversification,PrimaryNetwork,Has_Visa,Has_Mastercard,Has_AmericanExpress,Has_PayPal,Has_Discover,Has_DebitCard,Has_JCB,DaysToNextExpiry,HasExpiredCard,HasCardExpiringSoon,IssuingCountry,CountryMatchIssuer,LifetimeValue,PaymentReliability,ChurnRiskScore,MonthsAsCustomer,CustomerSegment,PaymentTrustSegment,Gender,IsActive,DeviceType,RegistrationSource,CityName,StateName,CountryName,ISOCode,Continent,CreateDate
1501,1,1,0,1,0,1,Single,Visa,1,0,0,0,0,0,0,1219.0,0,0,US,1,1196.2,0.852,0.242,106,Silver,Medium Trust,male,1,desktop,web,Springfield,Colorado,United States,US,North America,2017-07-24
1502,2,2,0,2,0,1,Single,Visa,1,0,0,0,0,0,0,1005.0,0,0,US,1,3412.62,0.974,0.16,185,Gold,High Trust,female,1,tablet,mobile_app,Springfield,Illinois,United States,US,North America,2010-12-22
1503,1,1,0,1,0,1,Single,Visa,1,0,0,0,0,0,0,1615.0,0,0,US,1,1697.39,1.0,0.738,100,Bronze,High Trust,male,0,smart_tv,web,Clinton,Maryland,United States,US,North America,2018-01-01
1504,1,1,0,1,0,1,Single,American Express,0,0,1,0,0,0,0,977.0,0,0,US,1,1097.08,0.879,0.258,73,Silver,Medium Trust,other,1,mobile,web,Savannah,Georgia,United States,US,North America,2020-04-16
1505,1,1,0,1,0,1,Single,Mastercard,0,1,0,0,0,0,0,977.0,0,0,US,1,1189.48,0.834,0.306,62,Bronze,Medium Trust,male,1,mobile,web,Salem,South Carolina,United States,US,North America,2021-03-29
1506,2,2,0,2,0,1,Single,Visa,1,0,0,0,0,0,0,1342.0,0,0,US,1,521.66,0.823,0.371,37,Bronze,Medium Trust,male,1,smart_tv,mobile_app,Franklin,Maryland,United States,US,North America,2023-04-28
1507,2,2,0,1,0,2,Dual,PayPal,0,1,0,1,0,0,0,885.0,0,0,US,1,141.85,0.922,0.343,1,Bronze,High Trust,female,1,mobile,partner,Madison,North Carolina,United States,US,North America,2026-04-13
1508,1,1,0,1,0,1,Single,Mastercard,0,1,0,0,0,0,0,1250.0,0,0,US,1,1026.99,0.77,0.276,92,Silver,Medium Trust,female,1,smart_tv,smart_tv,Springfield,Washington,United States,US,North America,2018-09-05
1509,2,2,0,2,0,2,Dual,Visa,1,0,0,0,1,0,0,885.0,0,0,US,1,2740.08,0.773,0.227,187,Silver,Medium Trust,female,1,tablet,web,Clinton,Alabama,United States,US,North America,2010-10-01
1510,1,1,0,1,0,1,Single,Mastercard,0,1,0,0,0,0,0,1127.0,0,0,US,1,1047.18,0.792,0.309,87,Silver,Medium Trust,male,1,smart_tv,mobile_app,Franklin,Missouri,United States,US,North America,2019-02-25
1511,1,1,0,0,0,1,Single,PayPal,0,0,0,1,0,0,0,,0,0,US,1,84.78,0.791,0.399,1,Bronze,Medium Trust,female,1,smart_tv,web,El Paso,Texas,United States,US,North America,2026-05-30
1512,2,2,0,1,0,2,Dual,PayPal,1,0,0,1,0,0,0,366.0,0,0,US,1,418.1,0.951,0.325,21,Silver,High Trust,male,1,tablet,mobile_app,Orlando,Florida,United States,US,North America,2024-08-22
1513,1,0,1,1,0,1,Single,Mastercard,0,1,0,0,0,0,0,427.0,0,0,US,1,610.07,0.991,0.298,32,Silver,Low Trust,female,1,mobile,web,Franklin,Virginia,United States,US,North America,2023-09-15
1514,1,1,0,1,0,1,Single,Mastercard,0,1,0,0,0,0,0,854.0,0,0,US,1,121.6,0.826,0.355,10,Bronze,Medium Trust,male,1,smart_tv,web,Springfield,Colorado,United States,US,North America,2025-07-17
1515,2,2,0,2,0,2,Dual,Visa,1,1,0,0,0,0,0,671.0,0,0,US,1,3023.62,0.847,0.219,196,Silver,Medium Trust,female,1,desktop,smart_tv,Madison,Alabama,United States,US,North America,2010-01-12
1516,2,2,0,1,1,2,Dual,Debit Card,0,1,0,0,0,1,0,549.0,0,0,US,1,3636.97,0.992,0.125,191,Gold,High Trust,male,1,tablet,web,Salem,Colorado,United States,US,North America,2010-06-11
1517,1,1,0,0,0,1,Single,PayPal,0,0,0,1,0,0,0,,0,0,US,1,423.68,0.765,0.412,39,Bronze,Medium Trust,female,1,smart_tv,web,Atlanta,Georgia,United States,US,North America,2023-02-01
1518,1,1,0,0,0,1,Single,PayPal,0,0,0,1,0,0,0,,0,0,US,1,1376.63,0.717,0.859,128,Bronze,Medium Trust,female,0,smart_tv,mobile_app,Akron,Ohio,United States,US,North America,2015-09-10
1519,1,1,0,1,0,1,Single,Mastercard,0,1,0,0,0,0,0,1584.0,0,0,US,1,694.77,0.963,0.248,46,Silver,High Trust,male,1,desktop,partner,Clinton,Colorado,United States,US,North America,2022-07-14
1520,3,3,0,2,1,3,Multi,Mastercard,0,1,1,0,0,1,0,519.0,0,0,US,1,1029.28,0.842,0.327,96,Silver,Medium Trust,female,1,tablet,web,Georgetown,Alabama,United States,US,North America,2018-05-16
1521,1,1,0,1,0,1,Single,Mastercard,0,1,0,0,0,0,0,854.0,0,0,US,1,2246.37,0.809,0.226,123,Silver,Medium Trust,male,1,smart_tv,web,Franklin,Washington,United States,US,North America,2016-02-04
1522,2,2,0,1,1,2,Dual,Debit Card,1,0,0,0,0,1,0,640.0,0,0,US,1,1524.35,0.902,0.198,158,Silver,High Trust,male,1,mobile,smart_tv,New York City,New York,United States,US,North America,2013-03-04
1523,1,1,0,1,0,1,Single,Visa,1,0,0,0,0,0,0,1189.0,0,0,US,1,527.82,0.837,0.354,31,Bronze,Medium Trust,male,1,mobile,smart_tv,Georgetown,Arizona,United States,US,North America,2023-10-29
1524,2,1,1,0,1,2,Dual,Debit Card,0,0,0,1,0,1,0,824.0,0,0,US,1,1011.37,0.822,0.955,65,Bronze,Medium Trust,male,0,smart_tv,web,Georgetown,Massachusetts,United States,US,North America,2020-12-15
1525,1,1,0,1,0,1,Single,Visa,1,0,0,0,0,0,0,946.0,0,0,US,1,168.26,0.924,0.377,5,Bronze,High Trust,male,1,mobile,web,Springfield,Alabama,United States,US,North America,2025-12-28
