AddressKey,AddressID,Street,PostalCode,Latitude,Longitude,Timezone,CityKey
2001,1,410 Pine Dr,39256,39.8974,-98.4606,America/New_York,1
2002,2,1680 River Pl,21395,40.8677,-87.7677,America/New_York,2
2003,3,521 Main Ave,38657,39.3127,-98.5373,America/New_York,3
2004,4,9864 Main Pl,36062,40.7634,-97.7361,America/New_York,4
2005,5,8929 Washington Dr,68878,39.1244,-97.916,America/New_York,5
2006,6,107 Maple Way,54597,39.1293,-98.7226,America/New_York,6
2007,7,3528 Elm Ave,22156,39.6936,-99.8806,America/New_York,7
2008,8,5882 Elm Rd,15695,38.1201,-98.7998,America/New_York,8
2009,9,8786 Oak Way,20328,38.6897,-98.0986,America/New_York,9
2010,10,5926 Park Dr,19116,38.7736,-99.4798,America/New_York,10
2011,11,3734 Pine Ave,40512,33.1411,-100.0824,America/New_York,11
2012,12,4555 Lake Ln,31319,28.0484,-82.9001,America/New_York,12
2013,13,3433 River Rd,99593,39.0645,-98.2613,America/New_York,13
2014,14,9981 River Blvd,80010,38.5792,-98.0494,America/New_York,1
2015,15,2678 Lake Way,45382,39.0195,-98.5834,America/New_York,14
2016,16,9126 Cedar Ln,17331,39.0186,-96.8682,America/New_York,15
2017,17,5169 Washington Rd,18675,39.4892,-99.1962,America/New_York,16
2018,18,5156 Cedar Ct,61856,40.158,-99.3267,America/New_York,17
2019,19,2341 Pine Blvd,42325,39.6671,-99.9177,America/New_York,18
2020,20,8831 Pine Way,86484,38.4375,-98.1925,America/New_York,19
2021,21,3594 Maple Pl,74686,40.0908,-98.2129,America/New_York,20
2022,22,1797 Maple Blvd,99192,42.0732,-75.189,America/New_York,21
2023,23,1041 Washington Way,88104,38.3172,-98.9259,America/New_York,22
2024,24,4120 Hill St,99166,39.1315,-97.5043,America/New_York,23
2025,25,8798 Pine Ln,24621,39.7749,-99.7604,America/New_York,24
2026,26,2592 Lake St,44522,39.7593,-98.6581,America/New_York,25
2027,27,8318 Oak Rd,93748,38.9585,-97.8607,America/New_York,26
2028,28,3259 Maple Ln,31174,40.3248,-97.605,America/New_York,27
2029,29,10 Park Ln,74042,38.8286,-98.5974,America/New_York,28
2030,30,5948 Pine Dr,17592,37.0433,-118.6375,America/New_York,29
2031,31,1291 Oak Ct,19071,39.1167,-98.4985,America/New_York,4
2032,32,2104 River Ct,82063,38.6149,-99.307,America/New_York,30
2033,33,8646 Park Way,37760,40.15,-97.265,America/New_York,31
2034,34,3296 Pine Way,98039,39.4424,-97.5472,America/New_York,32
2035,35,7178 Hill Ct,25860,39.7893,-98.8661,America/New_York,33
2036,36,1050 Elm St,87110,39.7891,-97.1196,America/New_York,34
2037,37,9642 Cedar St,19305,39.4713,-97.0983,America/New_York,30
2038,38,965 Cedar Ave,14117,37.4042,-97.6925,America/New_York,5
2039,39,8424 Cedar Rd,97684,39.5696,-98.5892,America/New_York,35
2040,40,8835 Maple Ct,41850,39.5734,-99.9401,America/New_York,36
2041,41,3120 Oak Ave,96374,39.3243,-98.0643,America/New_York,37
2042,42,6940 Washington Ct,17100,40.6823,-98.7646,America/New_York,38
2043,43,1613 Main Way,54473,38.8532,-98.7514,America/New_York,39
2044,44,3140 Cedar Pl,68800,28.7267,-81.4973,America/New_York,40
2045,45,3007 Pine Ct,42742,39.9257,-88.5755,America/New_York,41
2046,46,9017 Oak St,95477,42.2434,-74.1732,America/New_York,42
2047,47,1529 Cedar Blvd,63269,38.9384,-98.6121,America/New_York,43
2048,48,3503 Washington St,31579,39.1863,-99.5208,America/New_York,37
2049,49,6397 Pine Ct,47388,39.7369,-98.1412,America/New_York,8
2050,50,9106 River Ct,30289,39.5041,-98.5377,America/New_York,44
2051,51,3567 Main Pl,17989,38.3677,-98.6865,America/New_York,45
2052,52,937 Main Ct,75909,39.2258,-98.9918,America/New_York,46
2053,53,932 Hill Ave,34356,39.371,-98.0268,America/New_York,26
2054,54,1114 River Dr,62923,43.6746,-74.8084,America/New_York,47
2055,55,4034 Park St,91183,28.2004,-81.8199,America/New_York,48
2056,56,9563 Park Pl,51467,40.6307,-74.9693,America/New_York,42
2057,57,5148 Cedar Rd,61876,39.5482,-96.3794,America/New_York,7
2058,58,4916 Lake Ln,19508,40.1956,-88.7449,America/New_York,2
2059,59,9225 Oak Ave,80468,36.7505,-120.3528,America/New_York,49
2060,60,4346 Maple Ln,19016,40.4143,-97.7485,America/New_York,17
2061,61,4670 Maple Ct,81200,40.1328,-99.0775,America/New_York,50
2062,62,8667 Main Pl,49240,40.6222,-99.4715,America/New_York,51
2063,63,2201 Pine Ave,24029,39.9695,-96.5976,America/New_York,52
2064,64,2547 Pine Rd,89276,38.7076,-98.803,America/New_York,19
2065,65,5618 Cedar Rd,76244,39.5797,-98.7528,America/New_York,53
2066,66,833 Oak Way,46265,38.2595,-98.2951,America/New_York,54
2067,67,5465 Maple Rd,31178,31.1188,-99.5229,America/New_York,55
2068,68,9039 Washington Pl,11267,38.7645,-97.1101,America/New_York,9
2069,69,2443 Hill St,58393,27.3678,-82.0179,America/New_York,56
2070,70,2427 Washington Blvd,15482,40.1508,-99.3347,America/New_York,57
2071,71,654 Elm Dr,99399,39.682,-97.3043,America/New_York,58
2072,72,1685 Elm Pl,63264,38.214,-98.2023,America/New_York,59
2073,73,2533 Cedar Blvd,33206,39.7079,-97.7245,America/New_York,60
2074,74,2939 Elm Way,97806,38.5104,-99.4064,America/New_York,61
2075,75,4372 Maple Ave,60140,39.9176,-98.1124,America/New_York,14
2076,76,3645 Cedar Ct,55830,32.169,-99.6246,America/New_York,62
2077,77,3653 Main Dr,62227,38.956,-98.1642,America/New_York,63
2078,78,1138 Pine Ln,94080,39.7345,-98.9215,America/New_York,64
2079,79,8786 Elm St,25118,40.9926,-97.9709,America/New_York,65
2080,80,9513 Pine St,24208,38.547,-97.8248,America/New_York,7
2081,81,5664 Elm Way,89457,38.7203,-97.7203,America/New_York,66
2082,82,6312 Park Dr,43386,40.4269,-99.0065,America/New_York,67
2083,83,7145 Main Pl,80575,32.7393,-99.5716,America/New_York,11
