CollectionKey,Name
1,Gladiator Collection
2,Back to the Future Collection
3,The Lord of the Rings Collection
4,Studio Ghibli Collection
5,The Dark Knight Collection
6,The Godfather Collection
7,Dollars Trilogy
8,The Matrix Collection
9,Vengeance Trilogy
10,Star Wars Collection
11,The Lion King Collection
12,Evangelion Collection
13,The Avengers Collection
14,Spider-Man: Spider-Verse Collection
15,Violet Evergarden Collection
16,Rascal Does Not Dream Collection
17,Gabriel's Inferno Collection
18,Quintessential Quintuplets Collection
19,Chainsaw Man Collection
20,James Bond Collection
21,Indiana Jones Collection
22,Bourne Collection
23,One Piece Collection
24,Shrek Collection
25,Pirates of the Caribbean Collection
26,Dragon Ball Collection
27,Rocky Collection
28,Jurassic Park Collection
29,Twilight Collection
30,DC Extended Universe
31,Harry Potter Collection
32,Terminator Collection
33,The Hunger Games Collection
34,Madagascar Collection
35,Toy Story Collection
36,Mission: Impossible Collection
37,Ice Age Collection
38,Fast & Furious Collection
39,Kung Fu Panda Collection
40,Marvel Cinematic Universe
41,How to Train Your Dragon Collection
42,Die Hard Collection
43,John Wick Collection
44,Despicable Me Collection
45,Planet of the Apes Collection
46,Alien Collection
47,Your Name Collection
48,Naruto Collection
