PaymentMethodKey,CardID,CustomerKey,CardNetwork,CardSubtype,CardExpiryDate,IssuingCountry,IsActive
1501,1,1501,Visa,credit,2029-10-01,US,1
1502,2,1502,Visa,credit,2029-03-01,US,1
1503,3,1502,Visa,credit,2029-12-01,US,1
1504,4,1503,Visa,credit,2030-11-01,US,1
1505,5,1504,American Express,credit,2029-02-01,US,1
1506,6,1505,Mastercard,credit,2029-02-01,US,1
1507,7,1506,Visa,credit,2030-11-01,US,1
1508,8,1506,Visa,credit,2030-02-01,US,1
1509,9,1507,PayPal,digital_wallet,,US,1
1510,10,1507,Mastercard,credit,2028-11-01,US,1
1511,11,1508,Mastercard,credit,2029-11-01,US,1
1512,12,1509,Visa,credit,2028-11-01,US,1
1513,13,1509,Discover,credit,2028-11-01,US,1
1514,14,1510,Mastercard,credit,2029-07-01,US,1
1515,15,1511,PayPal,digital_wallet,,US,1
1516,16,1512,PayPal,digital_wallet,,US,1
1517,17,1512,Visa,credit,2027-06-01,US,1
1518,18,1513,Mastercard,credit,2027-08-01,US,0
1519,19,1514,Mastercard,credit,2028-10-01,US,1
1520,20,1515,Visa,credit,2028-04-01,US,1
1521,21,1515,Mastercard,credit,2029-08-01,US,1
1522,22,1516,Debit Card,debit,2028-06-01,US,1
1523,23,1516,Mastercard,credit,2027-12-01,US,1
1524,24,1517,PayPal,digital_wallet,,US,1
1525,25,1518,PayPal,digital_wallet,,US,1
1526,26,1519,Mastercard,credit,2030-10-01,US,1
1527,27,1520,Mastercard,credit,2029-02-01,US,1
1528,28,1520,Debit Card,debit,2029-05-01,US,1
1529,29,1520,American Express,credit,2027-11-01,US,1
1530,30,1521,Mastercard,credit,2028-10-01,US,1
1531,31,1522,Debit Card,debit,2029-06-01,US,1
1532,32,1522,Visa,credit,2028-03-01,US,1
1533,33,1523,Visa,credit,2029-09-01,US,1
1534,34,1524,Debit Card,debit,2028-09-01,US,0
1535,35,1524,PayPal,digital_wallet,,US,1
1536,36,1525,Visa,credit,2029-01-01,US,1
