TalentKey,ActorID,FirstName,LastName,nationality,gender,birth_year,death_year,is_active,known_for_dept,popularity_score,awards_count,active_since_year
1635,2,Mark,Hamill,US,male,1951,,1,Acting,45.0,3,1973
1636,31,Tom,Hanks,US,male,1956,,1,Acting,87.0,1,1980
1637,109,Elijah,Wood,US,male,1981,,1,Acting,32.0,0,1993
1638,110,Viggo,Mortensen,DK,male,1958,,1,Acting,28.0,0,1977
1639,190,Clint,Eastwood,US,male,1930,,1,Acting,52.0,2,1955
1640,192,Morgan,Freeman,US,male,1937,,1,Acting,71.0,1,1964
1641,380,Robert,De Niro,US,male,1943,,1,Acting,94.0,1,1965
1642,504,Tim,Robbins,US,male,1958,,1,Acting,38.0,1,1979
1643,514,Jack,Nicholson,US,male,1937,,1,Acting,62.0,1,1958
1644,521,Michael J.,Fox,CA,male,1961,,0,Acting,55.0,0,1979
1645,622,Yoji,Matsuda,JP,male,1936,2000.0,0,Acting,8.0,0,1955
1646,819,Edward,Norton,US,male,1969,,1,Acting,49.0,0,1989
1647,854,James,Stewart,US,male,1908,1997.0,0,Acting,22.0,1,1935
1648,934,Russell,Crowe,AU,male,1964,,1,Acting,41.0,1,1990
1649,1003,Jean,Reno,FR,male,1948,,1,Acting,35.0,0,1970
1650,1038,Jodie,Foster,US,female,1962,,1,Acting,51.0,1,1980
1651,1158,Al,Pacino,US,male,1940,,1,Acting,57.0,2,1969
1652,1622,Chang,Chen,TW,male,1961,,1,Acting,12.0,0,1985
1653,1936,Martin,Balsam,US,male,1931,2011.0,0,Acting,6.0,0,1950
1654,2090,Kirk,Douglas,US,male,1916,1995.0,0,Acting,19.0,1,1939
1655,2157,Robin,Williams,US,male,1951,2014.0,0,Acting,73.0,0,1977
1656,3084,Marlon,Brando,US,male,1924,2004.0,0,Acting,43.0,1,1950
1657,3129,Tim,Roth,GB,male,1961,,1,Acting,27.0,0,1982
1658,3223,Robert,Downey Jr.,US,male,1965,,1,Acting,121.0,1,1987
1659,3490,Adrien,Brody,US,male,1973,,1,Acting,33.0,1,1998
1660,3894,Christian,Bale,GB,male,1974,,1,Acting,78.0,1,1992
1661,3896,Liam,Neeson,GB,male,1952,,1,Acting,59.0,0,1978
1662,4756,Matthew,Broderick,US,male,1962,,1,Acting,22.0,0,1983
1663,4818,Roberto,Benigni,IT,male,1952,,1,Acting,29.0,1,1972
1664,4959,Claudia,Cardinale,IT,female,1938,,1,Acting,14.0,0,1959
1665,6193,Leonardo,Dicaprio,US,male,1974,,1,Acting,145.0,1,1991
1666,6384,Keanu,Reeves,US,male,1964,,1,Acting,88.0,0,1986
1667,7301,Anthony,Perkins,US,male,1932,1992.0,0,Acting,11.0,0,1953
1668,7450,Toshiro,Mifune,JP,male,1920,1997.0,0,Acting,17.0,0,1940
1669,7453,Takashi,Shimura,JP,male,1905,1982.0,0,Acting,9.0,0,1930
1670,8252,William,Holden,US,male,1918,1981.0,0,Acting,8.0,1,1938
1671,8349,Martin,Sheen,US,male,1940,,1,Acting,31.0,0,1968
1672,8595,Alexandre,Rodrigues,BR,male,1975,,1,Acting,7.0,0,1997
1673,8600,Matheus,Nachtergaele,BR,male,1969,,1,Acting,6.0,0,1995
1674,8891,John,Travolta,US,male,1954,,1,Acting,47.0,0,1975
1675,10297,Matthew,Mcconaughey,US,male,1969,,1,Acting,56.0,1,1993
1676,13848,Charlie,Chaplin,GB,male,1889,1977.0,0,Acting,38.0,0,1914
1677,17881,Jason,Schwartzman,US,male,1980,,1,Acting,14.0,0,1994
1678,19587,Rumi,Hiiragi,JP,female,1986,,1,Acting,9.0,0,2001
1679,19588,Miyu,Irino,JP,male,1988,,1,Acting,11.0,0,2001
1680,20738,Song,Kang-ho,KR,male,1967,,1,Acting,19.0,1,1993
1681,24366,Philippe,Noiret,FR,male,1930,2006.0,0,Acting,7.0,0,1955
1682,24495,Michel,Constantin,FR,male,1924,2005.0,0,Acting,5.0,0,1950
1683,33161,François,Cluzet,FR,male,1963,,1,Acting,16.0,0,1985
1684,37583,Nino,Manfredi,IT,male,1921,2004.0,0,Acting,8.0,0,1946
1685,55061,Kajol,,IN,female,1974,,1,Acting,22.0,0,1992
1686,64880,Choi,Min-sik,KR,male,1968,,1,Acting,18.0,1,1994
1687,65437,Junko,Iwao,JP,female,1970,,1,Acting,7.0,0,1988
1688,70131,Tatsuya,Nakadai,JP,male,1932,2013.0,0,Acting,12.0,1,1952
1689,72413,Tsutomu,Tatsumi,JP,male,1949,2016.0,0,Acting,6.0,0,1970
1690,77927,Megumi,Ogata,JP,female,1965,,1,Acting,8.0,0,1985
1691,85008,Sul,Kyung-gu,KR,male,1968,,1,Acting,10.0,0,1993
1692,120724,Jaden,Smith,US,male,1998,,1,Acting,24.0,0,2006
1693,126698,Kenji,Nojima,JP,male,1972,,1,Acting,7.0,0,1996
1694,225730,Ryunosuke,Kamiki,JP,male,1993,,1,Acting,13.0,0,2010
1695,233590,Yoshitsugu,Matsuoka,JP,male,1986,,1,Acting,10.0,0,2005
1696,239574,Eugenio,Derbez,MX,male,1961,,1,Acting,31.0,1,1981
1697,533325,Chieko,Baisho,JP,female,1929,,0,Acting,5.0,0,1950
1698,587506,Shameik,Moore,US,male,1996,,1,Acting,19.0,0,2012
1699,947296,Ludwika,Paleta,MX,female,1971,,1,Acting,12.0,0,1990
1700,996701,Miles,Teller,US,male,1987,,1,Acting,31.0,0,2009
1701,1054260,Haru,Kuroki,JP,female,1990,,1,Acting,8.0,0,2010
1702,1134885,Omar,Chaparro,MX,male,1978,,1,Acting,14.0,0,2000
1703,1163030,Aras,Bulut,TR,male,1990,,1,Acting,9.0,0,2010
1704,1217648,Chris,Diamantopoulos,CA,male,1969,,1,Acting,7.0,0,1994
1705,1224288,Yui,Ishikawa,JP,female,1989,,1,Acting,9.0,0,2008
1706,1248374,Takuya,Eguchi,JP,male,1987,,1,Acting,8.0,0,2007
1707,1255318,Taishi,Nakagawa,JP,male,1992,,1,Acting,7.0,0,2012
1708,1267329,Lupita,Nyong'o,MX,female,1973,,1,Acting,31.0,1,1993
1709,1309460,Luis,Alberti,MX,male,1970,,1,Acting,8.0,0,1995
1710,1312450,Melanie,Zanetti,IT,female,1988,,1,Acting,7.0,0,2010
1711,1315197,Izumi,Sawada,JP,female,1988,,1,Acting,6.0,0,2008
1712,1318732,Mahiro,Takasugi,JP,male,1999,,1,Acting,8.0,0,2017
1713,1324666,Kaito,Ishikawa,JP,male,1995,,1,Acting,9.0,0,2015
1714,1508206,Nora,Velázquez,MX,female,1982,,1,Acting,7.0,0,2005
1715,1640507,Raúl,Santana,MX,male,1978,,1,Acting,6.0,0,2000
1716,1887455,Fin,Argus,NZ,male,2000,,1,Acting,5.0,0,2018
1717,1907244,Shan,Xin,CN,female,1990,,1,Acting,7.0,0,2010
1718,2248083,Aspen,Kennedy,US,female,2001,,1,Acting,4.0,0,2019
1719,2643437,Scarlett,Diamond,US,female,1999,,1,Acting,5.0,0,2017
1720,3651176,Kikunosuke,Toya,JP,male,1992,,1,Acting,6.0,0,2012
1721,4000000,James,Rodriguez,US,male,1964,,1,Acting,5.19,0,1982
1722,4000001,Adam,Anderson,US,male,1930,,0,Acting,2.93,0,1961
1723,4000002,Aaron,Miller,US,male,1997,,1,Acting,5.95,0,2018
1724,4000003,Sarah,Thomas,US,female,1975,,1,Acting,13.08,0,2000
1725,4000004,Brian,Hernandez,US,male,1965,,1,Acting,2.69,0,1993
1726,4000005,Linda,Williams,US,female,1976,,1,Acting,2.69,0,1995
1727,4000006,Stephanie,Rodriguez,US,female,1997,,1,Acting,13.75,0,2017
1728,4000007,Sho,Nakamura,JP,male,1953,,0,Acting,6.62,0,1974
1729,4000008,Poppy,Brown,GB,female,1990,,1,Acting,2.18,0,2010
1730,4000009,Daniel,Williams,US,male,1996,,1,Acting,5.41,0,2016
1731,4000010,Karen,Thomas,US,female,1977,,1,Acting,2.19,0,2005
1732,4000011,Joshua,Lopez,US,male,1947,,0,Acting,2.18,0,1984
1733,4000012,Logan,Pereira,IN,male,1978,,1,Acting,4.13,0,2003
1734,4000013,Blake,Souza,AU,male,1965,,1,Acting,0.59,0,1988
1735,4000014,Patricia,Davis,US,female,1988,,1,Acting,0.7,0,2015
1736,4000015,Karen,Williams,US,female,1964,,1,Acting,2.0,0,1989
1737,4000016,Jessica,Taylor,US,female,1971,,1,Acting,1.33,0,1997
1738,4000017,Andrea,Ferrari,IT,male,1969,,1,Acting,4.41,0,1988
1739,4000018,Patricia,Rodríguez,ES,female,2005,,1,Acting,1.47,0,2021
1740,4000019,Sarah,Jones,US,female,1972,,1,Acting,0.93,0,2001
1741,4000020,William,Jones,GB,male,1959,,1,Acting,12.42,0,1982
1742,4000021,Stephanie,Williams,US,female,1971,,1,Acting,2.71,0,1999
1743,4000022,Saki,Ito,JP,female,1997,,1,Acting,3.53,0,2020
1744,4000023,Aaron,Rodriguez,US,male,1991,,1,Acting,0.92,0,2015
1745,4000024,Daniel,Anderson,US,male,1952,,0,Acting,2.03,0,1980
