CustomerKey,AgeGroup,MonthsAsCustomer,ChurnRiskScore,LifetimeValue,AvgSessionMinutes,PaymentReliability,CustomerSegment
1501,adult,106,0.242,1196.2,62.7,0.852,Silver
1502,adult,185,0.16,3412.62,135.7,0.974,Gold
1503,adult,100,0.738,1697.39,85.1,1.0,Bronze
1504,adult,73,0.258,1097.08,44.0,0.879,Silver
1505,adult,62,0.306,1189.48,55.0,0.834,Bronze
1506,young_adult,37,0.371,521.66,25.5,0.823,Bronze
1507,young_adult,1,0.343,141.85,70.5,0.922,Bronze
1508,adult,92,0.276,1026.99,102.1,0.77,Silver
1509,middle_aged,187,0.227,2740.08,52.4,0.773,Silver
1510,adult,87,0.309,1047.18,79.5,0.792,Silver
1511,young_adult,1,0.399,84.78,72.9,0.791,Bronze
1512,adult,21,0.325,418.1,63.3,0.951,Silver
1513,adult,32,0.298,610.07,36.4,0.991,Silver
1514,young_adult,10,0.355,121.6,70.8,0.826,Bronze
1515,adult,196,0.219,3023.62,86.7,0.847,Silver
1516,adult,191,0.125,3636.97,93.7,0.992,Gold
1517,adult,39,0.412,423.68,33.8,0.765,Bronze
1518,adult,128,0.859,1376.63,55.4,0.717,Bronze
1519,adult,46,0.248,694.77,122.8,0.963,Silver
1520,adult,96,0.327,1029.28,78.5,0.842,Silver
1521,adult,123,0.226,2246.37,134.8,0.809,Silver
1522,adult,158,0.198,1524.35,69.4,0.902,Silver
1523,adult,31,0.354,527.82,27.3,0.837,Bronze
1524,young_adult,65,0.955,1011.37,93.2,0.822,Bronze
1525,young_adult,5,0.377,168.26,53.2,0.924,Bronze
1526,middle_aged,55,0.323,545.61,52.5,0.94,Silver
1527,adult,80,0.301,1399.59,103.1,0.751,Silver
1528,adult,188,0.137,3129.6,55.9,0.94,Gold
1529,adult,196,0.772,1776.8,75.0,0.888,Bronze
1530,adult,179,0.206,2474.75,57.2,0.757,Silver
1531,adult,112,0.21,981.71,80.0,0.941,Silver
1532,middle_aged,1,0.788,153.55,28.1,0.937,Bronze
1533,adult,142,0.261,2153.44,69.8,0.712,Silver
1534,young_adult,72,0.326,689.64,66.8,0.761,Bronze
1535,adult,186,0.161,2528.14,77.7,0.978,Gold
1536,adult,98,0.325,977.23,39.7,0.825,Silver
1537,young_adult,39,0.358,595.72,125.5,0.845,Silver
1538,young_adult,21,0.359,352.63,69.0,0.736,Bronze
1539,adult,96,0.293,897.05,143.7,0.787,Silver
1540,adult,165,0.183,2519.22,56.6,0.868,Silver
1541,adult,116,0.237,1511.39,88.2,0.897,Silver
1542,adult,108,0.282,1389.96,44.8,0.94,Silver
1543,young_adult,5,0.409,160.33,123.2,0.915,Silver
1544,adult,26,0.377,381.02,60.8,0.803,Bronze
1545,adult,168,0.18,2976.9,119.7,0.784,Silver
1546,adult,190,0.177,1792.34,115.3,0.891,Gold
1547,young_adult,77,0.262,1059.49,72.1,0.861,Silver
1548,adult,179,0.175,2434.99,121.1,0.747,Silver
1549,adult,169,0.228,2127.59,94.3,0.884,Silver
1550,adult,139,0.239,2336.62,101.8,0.771,Silver
1551,young_adult,67,0.742,1214.5,99.0,0.935,Bronze
1552,adult,95,0.326,1621.53,67.1,0.862,Silver
1553,adult,128,0.193,2052.02,180.0,0.776,Silver
1554,adult,195,0.222,1818.94,41.2,0.866,Silver
1555,adult,141,0.19,1727.59,92.0,0.979,Gold
1556,adult,1,0.315,163.29,45.6,0.957,Bronze
1557,adult,106,0.266,1868.04,98.0,0.909,Silver
1558,adult,111,0.25,1139.52,44.8,0.978,Silver
1559,adult,46,0.359,631.16,39.9,0.902,Bronze
1560,adult,113,0.263,1581.26,35.9,0.811,Silver
1561,adult,57,0.285,941.36,84.0,0.968,Silver
1562,adult,149,0.275,1430.96,86.2,0.783,Silver
1563,adult,44,0.271,758.54,89.4,0.928,Silver
1564,adult,187,0.248,2624.77,45.4,0.969,Gold
1565,young_adult,1,0.389,120.4,55.3,0.841,Bronze
1566,young_adult,44,0.287,620.36,57.4,0.969,Silver
1567,adult,129,0.217,2081.53,180.0,0.998,Gold
1568,middle_aged,1,0.292,152.27,96.8,0.899,Bronze
1569,adult,87,0.28,1082.28,54.6,0.731,Bronze
1570,young_adult,62,0.262,750.93,140.8,0.886,Silver
1571,young_adult,56,0.309,697.54,102.0,0.99,Silver
1572,adult,131,0.139,1913.31,140.2,0.969,Gold
