Pais,Categoria_Contenido,Total_Visualizaciones,Total_Eventos_Streaming,Total_Minutos_Vistos
Australia,Drama,12788,2343,141199
Australia,Animation,7977,1402,83182
Brazil,Drama,14824,2733,170165
Brazil,Animation,8777,1612,98249
Brazil,Comedy,4430,796,46910
Canada,Drama,13764,2501,150391
Canada,Animation,8533,1546,92342
Canada,Comedy,4246,764,45736
France,Drama,21044,3830,229503
France,Animation,12035,2227,134553
France,Comedy,6310,1148,70273
France,Adventure,5769,1071,64606
France,Action,4381,800,49063
United Kingdom,Drama,13775,2518,154794
United Kingdom,Animation,8313,1514,90290
United Kingdom,Comedy,4076,746,46158
United States,Drama,15855,2857,172057
United States,Animation,9063,1644,98936
United States,Comedy,4658,817,48682
United States,Adventure,4396,793,47161
