Contenido,Total_Reproducciones,Total_Eventos_Streaming,Total_Minutos_Vistos,Ingreso_Total,Indice_Rentabilidad
Avengers: Endgame,2854,522,32033,2799439100,980882.6559215137
Avengers: Infinity War,2909,531,32412,2052415039,705539.7177724304
The Lord of the Rings: The Return of the King,2705,498,30014,1118888979,413637.33049907576
The Dark Knight,2777,497,31069,1004558444,361742.3276917537
The Lord of the Rings: The Two Towers,2749,510,29481,926287400,336954.31065842125
The Lord of the Rings: The Fellowship of the Ring,2688,490,27663,871368364,324169.7782738095
Inception,2783,513,30792,839030630,301484.23643550125
Interstellar,2784,492,30566,746606706,268177.6961206897
Forrest Gump,2585,461,28259,677387716,262045.53810444873
The Lion King,2959,535,31601,763455561,258011.34200743496
Spider-Man: Across the Spider-Verse,2934,514,31893,690897910,235479.86025903205
The Empire Strikes Back,2698,478,30045,538400000,199555.2260934025
Gladiator,2693,505,32187,465516248,172861.5848496101
Saving Private Ryan,2800,504,31040,481840909,172086.03892857142
The Matrix,2847,525,30630,463517383,162809.05619950825
The Intouchables,2662,480,29291,426590315,160251.80879038316
Your Name.,2691,488,30241,405320132,150620.63619472316
Back to the Future,2585,465,26661,381109762,147431.2425531915
Spider-Man: Into the Spider-Verse,2835,500,29990,394884133,139288.93580246915
Schindler's List,2542,477,29748,321365567,126422.33162863887
