Customer_Key,Num_Recomendaciones,Recomendacion_1_ContentKey,Recomendacion_1_Titulo,Recomendacion_1_Score,Recomendacion_2_ContentKey,Recomendacion_2_Titulo,Recomendacion_2_Score,Recomendacion_3_ContentKey,Recomendacion_3_Titulo,Recomendacion_3_Score,Recomendacion_4_ContentKey,Recomendacion_4_Titulo,Recomendacion_4_Score,Recomendacion_5_ContentKey,Recomendacion_5_Titulo,Recomendacion_5_Score,Recomendacion_6_ContentKey,Recomendacion_6_Titulo,Recomendacion_6_Score,Recomendacion_7_ContentKey,Recomendacion_7_Titulo,Recomendacion_7_Score,Recomendacion_8_ContentKey,Recomendacion_8_Titulo,Recomendacion_8_Score,Recomendacion_9_ContentKey,Recomendacion_9_Titulo,Recomendacion_9_Score,Recomendacion_10_ContentKey,Recomendacion_10_Titulo,Recomendacion_10_Score
1501,10,1538,Saving Private Ryan,326.8658,1506,Back to the Future,272.1187,1515,The Godfather Part II,248.6641,1571,Dou kyu sei – Classmates,247.8101,1548,The Legend of 1900,244.8599,1563,Wolf Children,240.0981,1596,¿Quieres ser mi hijo?,237.3045,1513,Dead Poets Society,236.2168,1554,A Brighter Summer Day,235.5382,1520,Seven Samurai,234.9289
1502,10,1599,Chainsaw Man - The Movie: Reze Arc,300.7888,1548,The Legend of 1900,293.3816,1541,Paths of Glory,266.8597,1568,Avengers: Infinity War,266.1413,1522,The Pianist,258.8014,1577,Klaus,258.4912,1565,Whiplash,258.4499,1547,The Lion King,248.0067,1537,Se7en,247.4325,1583,Given,238.6465
1503,10,1510,Princess Mononoke,328.151,1571,Dou kyu sei – Classmates,308.2453,1513,Dead Poets Society,271.6428,1507,The Lord of the Rings: The Fellowship of the Ring,259.1549,1562,Hotarubi no Mori e,257.3271,1588,Impossible Things,253.6013,1556,Dilwale Dulhania Le Jayenge,253.0456,1598,The Forge,250.7022,1595,Once Upon a Studio,249.39,1537,Se7en,240.3499
1504,10,1516,The Silence of the Lambs,381.1445,1525,The Green Mile,320.6721,1585,Dedicated to my ex,316.5847,1581,The Legend of Hei,309.6203,1540,The Great Dictator,309.2863,1563,Wolf Children,287.2612,1541,Paths of Glory,282.7845,1553,Harakiri,256.3736,1567,Avengers: Endgame,246.9024,1568,Avengers: Infinity War,238.8724
1505,10,1516,The Silence of the Lambs,322.4477,1565,Whiplash,286.5568,1556,Dilwale Dulhania Le Jayenge,259.3834,1531,Sunset Boulevard,258.349,1560,We All Loved Each Other So Much,247.8905,1593,The Quintessential Quintuplets Movie,243.8989,1596,¿Quieres ser mi hijo?,241.5634,1548,The Legend of 1900,241.4874,1598,The Forge,240.9295,1571,Dou kyu sei – Classmates,240.5462
1506,10,1519,Once Upon a Time in the West,315.5013,1545,Ikiru,303.7988,1575,Parasite,257.3218,1584,Miracle in Cell No. 7,256.5515,1524,"The Good, the Bad and the Ugly",253.2163,1596,¿Quieres ser mi hijo?,250.557,1551,Grave of the Fireflies,249.2537,1562,Hotarubi no Mori e,248.6368,1535,Pulp Fiction,247.4428,1573,Life in a Year,242.937
1507,10,1538,Saving Private Ryan,275.8755,1556,Dilwale Dulhania Le Jayenge,262.0904,1547,The Lion King,261.5773,1551,Grave of the Fireflies,259.1583,1502,Apocalypse Now,258.3493,1516,The Silence of the Lambs,243.9423,1532,The Matrix,241.8464,1527,Psycho,239.7706,1520,Seven Samurai,237.9512,1535,Pulp Fiction,235.7723
1508,10,1504,Gladiator,277.7584,1503,American History X,275.2024,1600,Counterattack,274.7218,1570,Your Name.,265.0003,1547,The Lion King,260.4874,1568,Avengers: Infinity War,260.1077,1581,The Legend of Hei,257.5094,1553,Harakiri,249.6042,1562,Hotarubi no Mori e,249.1518,1569,Spider-Man: Into the Spider-Verse,245.9787
1509,10,1562,Hotarubi no Mori e,388.584,1522,The Pianist,320.8585,1535,Pulp Fiction,300.5551,1594,Radical,269.48,1596,¿Quieres ser mi hijo?,264.4552,1598,The Forge,256.3996,1600,Counterattack,255.5183,1587,Out of the Clear Blue Sky,255.2786,1504,Gladiator,248.5878,1536,GoodFellas,247.2549
1510,10,1531,Sunset Boulevard,327.0588,1503,American History X,323.6625,1574,Green Book,317.1695,1556,Dilwale Dulhania Le Jayenge,269.8223,1583,Given,266.5461,1551,Grave of the Fireflies,266.4638,1567,Avengers: Endgame,258.1737,1578,Violet Evergarden: The Movie,255.9603,1541,Paths of Glory,254.4675,1562,Hotarubi no Mori e,254.4135
1511,10,1537,Se7en,376.0646,1510,Princess Mononoke,310.0819,1523,Schindler's List,277.7585,1544,Modern Times,256.5544,1504,Gladiator,246.2197,1600,Counterattack,241.6966,1584,Miracle in Cell No. 7,240.722,1520,Seven Samurai,236.2289,1541,Paths of Glory,235.9823,1551,Grave of the Fireflies,234.3226
1512,10,1542,It's a Wonderful Life,333.5573,1519,Once Upon a Time in the West,306.3762,1581,The Legend of Hei,304.1903,1524,"The Good, the Bad and the Ugly",290.5884,1575,Parasite,274.6218,1598,The Forge,270.9032,1596,¿Quieres ser mi hijo?,268.3882,1573,Life in a Year,251.1273,1545,Ikiru,250.0514,1541,Paths of Glory,249.9959
1513,10,1576,I Want to Eat Your Pancreas,282.9269,1561,The Intouchables,264.0801,1538,Saving Private Ryan,251.888,1525,The Green Mile,250.0946,1581,The Legend of Hei,246.1901,1560,We All Loved Each Other So Much,245.4061,1518,Once Upon a Time in America,245.3586,1564,Interstellar,245.2706,1590,Gabriel's Inferno: Part II,244.3666,1523,Schindler's List,244.1832
1514,10,1510,Princess Mononoke,256.1469,1549,Perfect Blue,255.0878,1593,The Quintessential Quintuplets Movie,253.5318,1567,Avengers: Endgame,252.1459,1588,Impossible Things,251.1101,1581,The Legend of Hei,250.4048,1560,We All Loved Each Other So Much,249.3295,1531,Sunset Boulevard,247.6215,1566,Hope,245.4426,1575,Parasite,244.2651
1515,10,1539,City Lights,336.4933,1548,The Legend of 1900,323.078,1597,The Wild Robot,307.139,1554,A Brighter Summer Day,299.4765,1531,Sunset Boulevard,288.8007,1517,The Shawshank Redemption,265.9962,1553,Harakiri,265.5929,1600,Counterattack,265.4014,1515,The Godfather Part II,258.0883,1563,Wolf Children,250.062
1516,10,1504,Gladiator,309.1658,1527,Psycho,273.1647,1596,¿Quieres ser mi hijo?,252.2823,1579,Spider-Man: Across the Spider-Verse,249.4807,1542,It's a Wonderful Life,247.4655,1590,Gabriel's Inferno: Part II,244.4572,1591,Gabriel's Inferno: Part III,242.229,1555,Neon Genesis Evangelion: The End of Evangelion,234.6499,1548,The Legend of 1900,234.3085,1578,Violet Evergarden: The Movie,228.6717
1517,10,1538,Saving Private Ryan,271.5809,1528,Fight Club,270.0331,1553,Harakiri,268.3777,1537,Se7en,264.951,1525,The Green Mile,264.6702,1517,The Shawshank Redemption,262.446,1584,Miracle in Cell No. 7,254.1691,1540,The Great Dictator,249.5994,1520,Seven Samurai,249.4651,1550,Cinema Paradiso,247.8391
1518,10,1550,Cinema Paradiso,378.2006,1578,Violet Evergarden: The Movie,261.9214,1527,Psycho,256.9477,1575,Parasite,254.1159,1583,Given,243.5299,1590,Gabriel's Inferno: Part II,241.6572,1522,The Pianist,240.6618,1514,The Godfather,238.9429,1545,Ikiru,237.2512,1541,Paths of Glory,236.8496
1519,10,1511,Spirited Away,296.0146,1509,The Lord of the Rings: The Return of the King,291.3892,1571,Dou kyu sei – Classmates,290.1528,1543,The Empire Strikes Back,277.5366,1520,Seven Samurai,273.1004,1572,A Silent Voice: The Movie,256.5084,1547,The Lion King,256.1775,1554,A Brighter Summer Day,244.9356,1584,Miracle in Cell No. 7,240.7897,1595,Once Upon a Studio,238.6289
